"coursename","strm","enrollment"
"CLASSLAT111","1002","6"
"CLASSLAT175A","1002","2"
"CLASSLAT175T","1002","2"
"CLASSLAT275A","1002","3"
"CLASSLAT275T","1002","3"
"CLASSLAT322","1002","9"
"CLASSGEN2","1002","8"
"CLASSGEN21N","1002","3"
"CLASSGEN117","1002","62"
"CLASSGEN139","1002","6"
"CLASSGEN160","1002","3"
"CLASSGEN203A","1002","5"
"CLASSGEN205A","1002","4"
"CLASSGEN260","1002","4"
"CLASSGEN300","1002","6"
"CLASSGEN802","1002","8"
"COMM1","1002","138"
"COMM108","1002","40"
"COMM116","1002","9"
"COMM117","1002","7"
"COMM122A","1002","22"
"COMM185","1002","12"
"COMM195","1002","1"
"COMM199","1002","18"
"COMM202A","1002","17"
"COMM204","1002","12"
"COMM206","1002","10"
"COMM207","1002","14"
"COMM208","1002","13"
